name,institutionen,staedte,laender,sprachen,disziplinen,fachbereiche,lehrstuehle,sahle_typ,tadirah,ects_dh/ects_gesamt,abschluss,studienbeginn,dauer,voraussetzungen,profil,schwerpunkte,webadresse,ansprechpartner
Digital Humanities,36146-X (U. Basel),4004617-5 (Basel),4053881-3,de,,,,1,,"65 (Major)/120
35 (Minor/120",MA (2-Fach),,,,"""Theorien, Konzepte und Methoden der computergestützten und experimentellen Forschung in den Geistes- und Sozialwissenschaften""",,https://philhist.unibas.ch/de/studium/studienangebote/master/digital-humanities-master/,"sekretariat-dhlab@unibas.ch
"
Computing in the Humanities,2056127-1 (OFU),4004391-5 (Bamberg),4011882-4,de,,"Angewandte Informatik, Kognitive Systeme, Kulturinformatik, Medieninformatik, HCI",,1,,"wenn man hier nicht ""reine Informatik"" von DH abziehen wollen würde, so wie man ""reine GW"" von den anderen abziehen würde -Patrick Sahle 120/120",MSc (1-Fach),,,,"""Fachwissen in Informatik und Angewandter Informatik . Entwicklung von Softwaresystemen in versch. Anwendungsfeldern""",,https://www.uni-bamberg.de/ma-cith/,christoph.schlieder@uni-bamberg.de
Digital Humanities,2023768-6,4005762-8 (Bern),4053881-3,,,,,,,,MA,,,,,,https://www.philhist.unibe.ch/studium/studienprogramme/master_digital_humanities/index_ger.html,christa.schneider@unibe.ch
Digital Studies of Ancient Texts (DISTANT),2114189-7 (FU),4005728-8 (Berlin),4011882-4,en,101-05;,"Fachbereich Geschichts- und Kulturwissenschaften, ","Near Eastern Studies, Egyptology, and Coptology",2,Stylistic Analysis; Visual Analysis; Structural Analysis; Spatial Analyis; ; Content Analysis; Contextualizing; Theorizing; Modeling; Editing; Data Cleansing; Annotating; Publishing; Crowd Sourcing; Commenting; Transcribing;,35/120,MA,Wintersemester,4,"25 LP Altsprachen (Ancient Egyptian, Akkadian, Hittite, Coptic, Sumerian); 60 LP Altertumswissenschaften und/oder Digital HumanitiesHochschulabschluss im Bereich Digitale Geistes- und Sozialwissenschaften, ggf. Auswahlgespräch, DSH2, Englisch B2; Englischkenntnisse C1","""text- and language-related topics from Ancient Studies, Egyptology, and Coptology with computational modeling and analysis.""",Altorientalistik; Altertumswissenschaften; Digital Humanities,https://www.geschkult.fu-berlin.de/en/e/ma-distant/index.html,MA-Distant@geschkult.fu-berlin.de
Digital History,1220138-8 (HU),4005728-8 (Berlin),4011882-4,,,Geschichtswissenschaft,,2,,,MA,,,,"Entwicklung, Verwendung und Erprobung digitaler Medien und Methoden in den Geschichtswissenschaften.",,https://www.geschichte.hu-berlin.de/de/bereiche-und-lehrstuehle/digital-history/digital-history-studieren,digitalhistory@hu-berlin.de
Computerlinguistik,2024177-X,4006510-8 (Bielefeld),4011882-4,,,"Computational Linguistics, General Linguistics",,2,,,BA Nebenfach,,,,"Grundlagen und Methoden der Texttechnologie, Formale Sprachen / Programmierung, Texttechnologische Standards",,https://www.uni-bielefeld.de/fakultaeten/linguistik-literaturwissenschaft/studium-lehre/faecher/texttechnologie/,studienberatung-tt-cl@uni-bielefeld.de
Digital Philology,2165342-2 (TU Darmstadt),4011077-1 (Darmstadt),4011882-4,,,,,2,,,BA,,,,,,https://www.linglit.tu-darmstadt.de/studiumlinglit/studiengaenge/digiphil.de.jsp,florian.ostertag@tu-darmstadt.de
Linguistic and Literary Computing,2165342-2 (TU Darmstadt),4011077-1 (Darmstadt),4011882-4,,,,,2,,,MA,,,,,,https://www.linglit.tu-darmstadt.de/studiumlinglit/studiengaenge/llc.de.jsp,florian.ostertag@tu-darmstadt.de
Data Science with Minor in Digital Humanities,2000862-4 (FAU),4015299-6 (Erlangen); 4042742-0 (Nürnberg),4011882-4,,,,,1,,,BA,,,,DH: Compulsory Elective Modules for Application Field,,https://www.math-datascience.nat.fau.de/im-studium/bachelorstudiengaenge/bachelor-data-science/,studienberatung-datascience@math.fau.de
Data Science,2000862-4 (FAU),4015299-6 (Erlangen); 4042742-0 (Nürnberg),4011882-4,,,,,3,,,MA (DH-Anteile),,,,DH: Compulsory Elective Modules for Application Field,,https://www.math-datascience.nat.fau.de/im-studium/masterstudiengaenge/master-data-science/,zuv-masterbuero@fau.de
Digital Humanities,2000862-4 (FAU),4015299-6 (Erlangen); 4042742-0 (Nürnberg),4011882-4,,,"Informatik (Visual Computing, Knowledge Representating/Processing, Human Computer Interaction), Soziologie, Kulturgeographie, Medienwissenschaft/-ethik, Computerlinguistik, Kunstgeschichte, Buchwissenschaft, Archäologie; Legal Tech",,1,,,MA,,,,"Daten erfassen, Daten visualisieren, Daten analysieren und verstehen, Mensch-Maschine-Interaktion, Medienethik, IT-Recht. Technisch-informatisch ausgerichtetes Curriculum, praxisorientierte Verfahren der Informatik (Mustererkennung, graphische Datenverarbeitung, Computer Vision, Datenbanken) zur Erforschung des kulturellen Erbes.",,https://www.dhss.phil.fau.de/studium/ma-studiengang/,marianna.grachova@fau.de
